review,sentiment,prediction
我 的 孩子 很 喜欢 。 绘画 精美 ， 精彩 。 合适 1 岁 多 的 小宝宝 理解 。 我 的 孩子 看到 小熊 生日 的 时候 就 哼 生日歌 ； 看到 小猩猩 笑 别人 尿床 的 时候 ， 会学 着 小猩猩 捂着 嘴笑 ； 看到 小兔子 因为 掉 了 雪糕 ， 张大嘴巴 哭 的 时候 ， 会笑 ； 看到 小河 马 的 大嘴巴 ， 会 很 喜欢 地 摸摸 。 。 。 这样 有趣 的 阅读 时刻 数不胜数 。 这 套书 不错 。 不过 阅读 的 过程 中 ， 孩子 并 不是 能 马上 理解 的 ， 需要 爸爸妈妈 耐心 地 一遍 又 一遍 地 讲 。 呵呵 。 。 。,0,1
可能 是 那个 时代 的 真实写照 但是 我 有点 看不下去 看到 把 家里 钱 都 花光 房产 地产 全 输光 老爹 气死 的 这里 个人 无法 接受 这种 生活 状态 活着 应该 是 为了 让 生活 更好 ， 而 不是 让 生活 更差 没 兴趣 再 看 下去 了,0,1
  性能 一般   电源线 太粗 ， 和 机身 相比 有点 不配 。   价格 有点 贵 、 不过 三星 的 东东 一向 比 别家 贵    ,0,1
看 了 上 ， 很 是 一般 ， 没 动力 买下 下册 了 。,0,1
总体 来讲 ， 对 登封 的 印象 比较 差 ， 基本上 是 脏乱差 的 典型 ！ 酒店 的 设施 极端 简陋 ， 洗手间 里 连 浴帘 都 没有 ， 洗个 澡 满屋子 的 水 ！ 而且 ， 没有 挂 衣服 的 地方 。 酒店 里 的 餐厅 ， 竟然 不到 7 点去 就 已经 黑灯瞎火 了 。 总之 比较 阴暗 老旧 的 酒店 ， 条件 很 一般 。     不过 ， 地理位置 不错 ， 对面 是 超市 ， 还有 小吃 一条街 。      ,0,1
"  送 的 包 比较 普通 , 做工 也 不好 , 和 商城 上 99 块 那款 东芝 笔记本 包是 一样 的 , 希望 能 送 好点 的 包    ",0,1
我 买 了 一套 ， 是 送给 男朋友 的 妹妹 ！ 妹妹 拿到 很 开心 ， 立刻 开始 播放 ， 可 时不时 总是 卡碟 ， 并且 断断续续 的 ！ 好像 是 剪辑 的 ， 并且 剪 的 不好 ， 衔接 不上 ！ 送给 妹妹 ， 真是 好 没面子 ！,0,1
酒店 位置 很 偏 ， 大厅 很漂亮 ， 可是 房间 里 有 刚 装修 的 味道 ， 房间 偏暗 ， 床 也 偏低 ， 给 人 压抑 的 感觉 。 退房 后 酒店 反馈 给 携程 说 客人 没有 如期 入住 ， 也 让 客人 很 不 舒服 。      ,0,1
  右 手腕 那里 有 一个 口 ， 貌似 读卡器 扩展 口 ， 没 盖板 ， 难看 。   做工 马马虎虎 ， 本本 抱 在 身上 用 的 时候 会 觉得 手腕 磨 的 疼 ， 主要 是因为 边角 太锐 。    ,0,1
  个人感觉 散热 不是 很 好 ， 摸 起来 有 的 温手 ， 没 我 的 华硕 A8 的 散热 好 ， 另外 键盘 有点 硬 ， 间距 有点 下 ， 打字 还 有点 不 习惯 。 电源 管理 之类 的 附加 软件 不 多 。    ,0,1
  IBM   以前 的 笔记本 非常 的 好 ， 但 现在 的 外观 改动 太 大 ， 性能 方面 先不说 。 我 觉得 有 一个 我 非常 不能 接受 的 是 外盖 变成 了 钢琴 烤 漆 ， 一不小心 就 划一 道 ， 手一摸 就是 一个 印子 。    ,0,1
  如果 该 CPU 搭配 的 芯片组 也 能 升级 就 更好 了 ， 只是 价钱 就要 稍贵些 了 。    ,0,1
"  外形 显 笨重 ， T400 都 是 这样 的 吧 ？   另外 此 型号 没有 读卡器 ， 但是 有 两个 卡槽 可以 装 express , pcmcia   卡 。    ",0,1
概括 起来 ， 观点 还 不错 。 可是 语句 啰嗦 拖沓 到极点 ， 一个 问题 用 相同 的 语句 重复 N 遍 。,0,1
"怀着 期盼 的 心情 买 此书 , 拿到 手后 是 悔恨 啊 ! 极其 不 适合 孩子 , 图片 有些 扭曲 人品 ， 很 恐怖 ， 容易 给 孩子 造成 心理 阴影 ， 还是 要 给 孩子 比较 阳光 , 明朗 的 好 书籍 . 建议 当当网 再 推荐 时 , 请 仔细 挑选 ． ！ ！",0,1
  送 了 那么 多 东西 ， 还用 了 - 100 的 卷 ， 好 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 1    ,0,1
"房价 非常 贵 , 几乎 没有 房间 可以 看到 对岸 的 象鼻山 . 送 的 水果 饼干 又 少 又 不 好吃 . 装修 很 低档 的 , 离 市区 很 远 , 附近 没有 吃 的 地方 , 吃个 米粉 都 要 打 的 去 市区 ! ( 附带 的 说 超难 打 ) ! ! ! ! 谁 想 烧钱 谁 去 住 这个 号称 桂林 第一第二 老旧 的 酒店              ",0,1
"写 的 还好 , 就是 看着 看着 就 不想 在 看 了 .",0,1
该 酒店 地段 不 方便 ， 超难 打车 ， 服务 不 到位 ， 酒店设备 有点 旧      ,0,1
"以上 的 评论 太好 , 让 我 有 购买 的 冲动 , 但 我 看过 后 , 还 没有 < 不 生病 的 智慧 > 好 呢",0,1
内容 太 简单 了 ， 重复 太 多 儿子 一岁 五个 月 ， 明显 对 这个 不敢 兴趣 。 更 喜欢 汤姆 系列 。,0,1
这 本书 是 我 08 年 所 读的书 中 ， 较 有 收获 之一 。 书中 的 一些 观点 打破 我 一些 惯有 观念 。 作者 将 二十岁 年龄段 里 出现 的 迷惑 作 了 一定 的 个人观点 解答 。 值得 处于 这个 年龄段 的 女孩 看看 。,0,1
"可能 是 女孩子 的 原因 吧 , 价格 偏贵 , 还 没有 达到 效果",0,1
感觉 太 一般 了 ， 绝对 没 推荐 的 那么 好,0,1
书 不错 。 就是 那个 速度 的     慢 的 要死,0,1
  预装 的 * * 系统 太 复杂 ， 不 适合 家用 ， 价钱 也 有点 高高 。   另外 就 剩太 完美 了 ！ ！ ！ 呵呵 ！    ,0,1
感觉 这个 故事 没有 介绍 里 的 那么 吸引 我 ， 但 绝对 不是 那个 年代 离 我 的 生活 遥远 的 关系 。 事件 里 的 主角 都 太 神话 了 ， 通篇 就 像是 恋爱 的 人 互相 说 的 情话 ， 绝对 是 一种 很 自我 状态 的 表达 ， 不是 很 喜欢 ~ 也 没有 很 感动 ， 故事 太 美好 了 ， 没有 缺陷 也 就 感觉 不到 真实 了 ~,0,1
"我 在 两家 500 强 跨国公司 工作 过 , 翻 了 翻 这 本书 大致 可以 还原 出 作者 的 真实 品行 和 生活 状态 , 土包子 就是 土包子 , 在 精神 层面 上 永远 变 不成 白领 的 这 本书 骗骗 2 - 3 线 城市 没见 过 外企 世面 的 人 大概 还 可以 , 在 上海 会 被 完全 无视 .",0,1
  重量 还是 有点 重 的 ， 不像 想象 中 的 那么 轻 ， 不过 放在 背包 里 也 感觉 不到 。 比 公司 里 的 Dell 轻 很多 ， 比 其他 上网 本 还是 要重 一些 的 。   只有 一个 内存 插槽 ， 不过 标配 的 1G 也 够用 了 。   Atom 的 性能 还 不是 特别 强大 。    ,0,1
因为 两岁半 的 儿子 非常 喜欢 车 ， 看到 大家 的 评论 ， 买 了 两套 外加 一本 本 系列 书 。 拿到 手上 的 第一 感觉 是 轻飘飘 的 ， 尽管 书 的 开本 很大 ， 但 纸张 一般 。 跟 它 的 价位 相差 太远 。 翻开 轱辘 轱辘 转 这 本书 ， 因为 当时 是 冲 这 本书 买 的 ， 果然 像 以前 很多 买家 评论 的 一样 ， 乱 ， 太乱 。 画面 太满 ， 情节 不 清晰 。 最 重要 的 是 很多 车 跟 我们 中国 的 完全 不符 ， 比如 ： 出租车 、 吉普车 ， 我 儿子 最 喜欢 的 皮卡车 ， 在 里面 没有 翻译 ， 多 翻译成 小 卡车 或 * * 运输车 。 对 他 来讲 比较 迷惑 ， 我 讲 起来 也 很 费劲 。 也许 我 的 孩子 太小 ， 不 适合 这 套书 。 总之 这 系列 书买 的 比较 不值 ， 性价比 太低 。,0,1
  发热 是 有点 大 ， 特别 在 玩游戏 的 时候 ， 显卡 有 70 多 ° C ， 不 知道 正常 不 正常 ！ 不 玩游戏 的 时候 50 ° C 左右 ， 还 算 可以 ！    ,0,1
这个 书 首位 的 排名 言过其实 ， 感觉 比不上 圈子 全套 。 1 ） 故事 里面 的 故事 很多 牵强 赴 会 ， 逻辑性 差 。 2 ） 如果 仅仅 是 上面 的 原因 ， 还 能 马马虎虎 接受 。 毕竟 有些 和稀泥 的 招数 在 实际 工作 中 还 有些 用处 。 看到 故事 尾巴 ， 感觉 笔者 匆匆 首位 ， 手忙脚乱 ， 极度 不负责任 ， 王伟 莫名其妙 的 失踪 实在 让 人 无法 理解 ， 虽然 你 主要 是 讲 职场 ， 但 故事 的 完整性 要 考虑 吧 ， 要 对得起 读者 吧 。 3 ） 逻辑性 差 的 书 不能 给 高分 ！ 不 推荐 买 ！,0,1
这 本书 ， 让 我 觉得 很 不 值得 买 。 关于 毕淑敏 的 犀利 洒脱 细腻 ， 在 这本 小说 中 无法 得以 体现 。 似乎 迎合 了 目前 一部分 低层次 读者 的 需要 ， 有些 媚俗 之 嫌 。 很想 退掉 。 因为 ， 我 直接 没有 看 完 。,0,1
没 我 想像 的 那么 好 ， 还行 吧 ， 我 儿子 看着 还 行,0,1
"不 喜欢 , 这样 的   写 的 方式 , 看 大家 都 买 , 所以 买 了 , 晕 啊 !",0,1
一般 的 书 。 。 。 。 。 。 。 。 。 。 。 。 。,0,1
读 此书 几章 ， 是 难 读完 ！ 内容 好像 是 * * * 宣传 的 东西 ， 叫 人 逆来顺受 ， 凡事 忍气吞声 ， 强调 调节 自己 的 心情 。 类似 阿Q 精神 自我 释然 。 读 本书 不能 让 人 精神 气爽 ， 更 不能 让 人 励精图治 ， 也 不 像 散文 让 人 清净 。 总之 超作 胜于 本书 价值 ！,0,1
这 是 我 帮 同学 订 的 ， 之前 我 已经 买过 一本 ， 挺不错 的 。,0,1
这 本书 适合 三岁 - 5 岁 小孩子 看 ， 我 儿子 已经 从会 听 ， 到 会 看 ， 现在 可以 绘声绘色 的 讲 给 我 听 了 ， 不错,0,1
"  集成显卡 , 玩 使命 召唤 5 等 要求 很 高 的 游戏 比较 卡 , 没有 高清 输出 , 用料 没有 以前 老款 结实 了    ",0,1
  USB2 个 一般 也 够用 ， 我 的 四个 ， 都 只用 的 上 2 个 ， 哈哈 ， 价格 要是 更加 低 就 好 了 ， 哈哈 ， 再 轻点 ， 瞄 上网 本去 。 没有 麦克风 。    ,0,1
位置 太难 找 了 ， 房间 设施 少 ， 功能 单一 ， 作为 商务 间 ， 没有 配备 电脑 ， 有点 遗憾 ～ ！      ,0,1
"最大 的 优势 是 距 火车站 很近 , 坐 公交 去 龙门石窟 、 关林庙 等 景点 十分 方便 。 宾馆 设施 太 陈旧 ， 电视 效果 差 。      ",0,1
  虽 至于 另外 的 那些 更是 不值一提 ， 选来 选去 三星 的 这款 不错 。 然 以前 用 的 三星 不好 ， 但 这次 不错    ,0,1
  东芝 第一次 启动 vista 的 过程 真的 是 太 冗长 了 。   要是 能 配有 东芝 的 包 就 更好 了 。    ,0,1
不 知道 为什么 。 我家 女儿 就是 不 喜欢 这 套书 。 我们 一起 看 的 时候 她 总是 跑 溜 了 。 似乎 这样 的 插图 和 乱七八糟 的 风格 她 不 喜欢 。 我 也 不 喜欢 这样 的 书 。 图画 不是 很 逼真 。 好多 英文单词 我 看着 都 不 认识 怎么 教 她 啊 。 可能 是 比较 适合 国外 的 小朋友 吧 。,0,1
  华硕 做工 有待 提高 ， 键盘 中部 略微 凸出 ， 不 影响 使用 。   其他 暂时 没 发现 什么 。    ,0,1
书 太小 了   拿到 手里 很 是 失望 本 以为 会 多么 精致 ~ ~ ~ 真的 是 适合 小孩 看 啊 可 很小 的 孩子 的 又 看不懂 还 不是 大人 给 小孩子 讲 所以 应该 精致 一点 才 好 价钱 还是 不太值 啊,0,1
  只有 2 个 usb 口 ， 而且 都 在 左侧 ， 有些 不 人性 ！ 光驱 接口处 有 很大 的 缝隙 ， 似乎 做工 不是 细致 到 让 人 满意 ！ 但 只 上网 和 打字 从不 玩游戏 和 看 电影 ， 也 足矣 ！    ,0,1
怎么 说 呢 ， 跟 这个 城市 一样 的 毛病 ， 脏 吧 。 交通 不算 便利 。      ,0,1
并 不如 介绍 中 的 好 ， 小孩 不 喜欢 ， 翻 一次 就 掉 一边 去 了,0,1
  屏幕 是 宽 屏 的 ， 所以 看起来 很小 ， 键盘 海 还是 手感 很烂 ， 没有 预想 的 好 ， 还 以为 惠普 改 了 呢 … … … … ， 后盖板 设计 严重 鄙视 ， 升个 内存 嗨哟 啊 从 键盘 拆掉 … … … …    ,0,1
可能 是 周总理 住 过   房间 比较 朴素   陈设 与 服务 简单   不过 早餐 丰盛      ,0,1
"看到 网上 的 热评 终于 忍不住 买来 一看 , 什么 东西 吗 , 完全 一副 显摆 样 老实 说 历史 确实 应该 可以 写 的 好看 但 似乎 不该 是 这个 样子 吧 , 反正 我 除了 看见 一些 新鲜 词汇 完全 没 觉得 好看 好玩 明明 惊险 曲折 的 战争场面 被 他 描述 的 寡淡 无味 人物性格 不是 通过 冲突 体现 出来 的 而是 硬生生 , 死板板 下定义 得 出来 的 总之 , 不 好看 , 没 水平 , 没 意义",0,1
"此 套书 我 感觉 不错 , 但 孩子 ( 三岁 ) 不太 喜欢 !",0,1
女人 ， 尤其 是 女孩 ， 心思 细密 ， 敏感 浪漫 ， 更 容易 好高务远 ， 一想 天开 。 这 本书 就是 让 女人 懂得 要 脚踏实地 ， 不要 心 高手 低 ， 也 不要 以为 爱情 会 是 幸福生活 的 全部 。 总的来说 还 不错 ， 但 我 更 喜欢 《 女人 的 幸福 与 什么 有关 》 ， 感觉 更 贴合 中国 女人 的 实际 。,0,1
觉得 里面 的 图画 有点 杂乱 ， 孩子 不是 很感兴趣 ！,0,1
  价格 还是 高 了 点 ， 上网 本 的 配置 办公 还 可以 ， 娱乐 性能 就 差 一些 了 ， 作为 用 了 超 低功耗 的 intel   Menlow 平台 ， 电池 持久力 有待 加强    ,0,1
看过 嘟嘟 和 巴豆 后 ， 就 觉得 这 本书 买怨 了 。,0,1
我 希望 出版社 能 把 原版 日语 也 写 上 就 好 了 。,0,1
"地点 偏僻 , 比较 难 找到 . 出租车 司机 都 不 知道 这个 酒店 的 . 早上 的 自主 餐 没有 什么 东西 的 , 用餐 环境 就 在 一个 走廊 上 , 环境 比较 差 . 一张 地图 要 10 元 钱 .      ",0,1
环境 不 怎样 ， 住 了 一天 就 换 了 ！ 性价比 不高 ， 服务 有待 改进 ！      ,0,1
锦江 贵宾楼 我 已经 入住 很 多次 了 ， 我 之所以 选择 它 ， 是因为 地理位置 好 ， 但是 服务水平 比较 差 ， 而且 餐饮 价格 也 不合理 。 并且 现在 装修 噪音 很大 ， 下次 我 是 不会 选择 了 。     宾馆 反馈   2008 年 1 月 7 日   ：   尊敬 的 宾客 ： 由于 酒店 近期 装修 改造 ， 给 您 带来 了 诸多不便 对此 我们 深表歉意 ！ 根据 客人 反馈 信息 ， 我店 对 房价 进行 了 调整 ， 还 为 入住 我店 的 客人 赠送 欢迎 水果 ， 房 内 免费 宽带 上网 等 增值 服务 ， 我们 将 秉承 “ 宾客 至上 ， 服务 第一 ” 的 宗旨 ， 竭诚 为您服务 ！      ,0,1
waste   of   my   money .     My   children   are   not   interested .,0,1
"不如 朋友 推荐 的 好 , 既 没有 阅读 性 亦 没有 甚多 的 心理学 知识 , 不 喜欢 .",0,1
  噪音 大 A 面 有点 太 轻飘 ， 塑料 感太强 。 打着 HP 的 牌子 做 的 却 不 像 大 品牌 做 出来 的 东西 。 个人 推荐 宏基 ， 此机 配置 虽高 但 与 价格 不符 ， 不值 。 本人 推荐 不要 光 追求 大 品牌 。 华硕 和 宏基 就 比 HP 强 --- 起码 在 做工 和 声燥 方面 。    ,0,1
"这 套书 是 我 买 的 最 失败 的 一套 , 自已 拿到 书 就 觉得 里面 确实 有点 乱 , 色彩 也 不是 很 鲜艳 的 那种 , 可能 外国 文化 和 中国 文化 还是 有 很大 差异 吧 ! 反正 孩子 就是 根本 都 不 愿意 翻 ! 不 知道 其它 的 宝宝 对 这 本书 的 反映 如何 ? ?",0,1
看过 嘟嘟 和 巴豆 后 ， 就 觉得 这 本书 买怨 了 。,0,1
看起来 我 的 孩子 暂时 不会 喜欢 这 套书 ！ 信息量 太 大 ， 孩子 不 喜欢 密密麻麻 的 小字 ！,0,1
  有些 厚重 吧 ， 这 跟 京东 没关系 ， 呵呵 ， 毕竟 只花 3999 元 银子 嘛 ， 这个 价格比 市面 要 低 ！    ,0,1
  唯一 点 就是 笔记本 贴膜 没贴 好 ， 漏 了 很多 空气 ， 估计 把 膜 揭掉 会 很漂亮 ， 现在 还 不 舍得 ， 先用 着 ， 保护 本本 重要 … …    ,0,1
这 是 我 第二次 住 该 酒店 ， 感觉 明显 不如 以前 了 ， 看来 酒店 的 管理 不够 。      ,0,1
很多 人 对 这 本书 评价 很 高 ， 我 只能 说 这 本书 不 适合 我 看 啦 ， 大概 浏览 了 一下 ， 觉得 书里 讲述 的 都 是 早已 知晓 ， 不用 提及 的 东西 ， 就 没有 兴趣 看 下去 了 ~,0,1
本想 卖 给 朋友 作为 英语 入门 的 教材 ， 没想到 效果 不佳 ， 中英文 夹杂着 阅读 确实 不太 习惯 ， 还好 是 买 了 第一册 。,0,1
这是 一本 小说集 ， 好多 章节 故事 ， 我 都 已经 看过 了 。 书 印刷 还是 不错 的 。 但是 还是 买 整套 的 好 ， 有点 后悔 。,0,1
  硬盘 在 频繁 读取数据 时有 轻微 的 卡卡 响 ， 处理器 换 t6400 更好 ， 价格 可 再 降    ,0,1
"服务 基本上 没有 ！ 非常 失望 ， 其 酒店 的 服务 和 周围 的 优雅 环境 很 不相称 ...   总而言之 , 非常 失望 , 更 不用 谈   性价比 了 .      ",0,1
"  键盘 太 拥挤   按着 不太 舒服 ,   也 容易 按 错键 .   不过 这 体积 大概 也 只能 这样    ",0,1
酒店 环境 非常 一般 ， 感觉 只是 2 星级 的 ， 酒店 外观 比较 旧 ， 店内 装修 比较 差 。      ,0,1
性价比 太 差 ， 大堂 不 气派 。 房间 一般 ， 服务 一般 ， 以后 不会 住      ,0,1
面前 就是 高架 ， 实在 是 太 吵 了 ， 一 晚上 没睡 ！     宾馆 反馈   2008 年 7 月 7 日   ：   您好 ！   首先 很 报歉 您 一 晚上 未 休息 好 ， 北虹路 店 是 邻近 中环 的 ， 面前 是 中环 高架 ， 白天 的 时候 车会 多一点 ， 但是 20 点 以后 中环 的 车 就 会 很少 的 ， 我们 房间 的 隔间 效果 还是 可以 的 ， 只要 把 窗户 关上 ， 基本上 就 没有 很大 的 声音 的 ， 并且 住 我们 北虹店 的 客人 大多数 都 是 商务 客人 ， 房型 也 是 各异 的 ，   大多数 客人 喜欢 正面 朝 中环 的 房间 ， 因为 这种 房型 采光 较 好 ， 空气 的 流通性 也 很 不错 ！   但 我们 也 有 很 安静 面朝 小区 的 房间 ， 针对 各种 需求 的 客人 ， 您 下次 入住 时 我们 会 安排 您 入住 朝 小区 的 房间 ， 希望 您 再 给 我们 这样 的 机会 ！ 让 您 感受 如 家 “ 家 ” 的 气息 ！ ！      ,0,1
借助 一位 职场 精英 的 评价 来 表达 自己 对 这 本书 的 看法 吧 ： 可读性 还 不错 ， 对 刚入 社会 的 学生 特别 新鲜 。 可 对 一些 参加 工作 很多年 的 人 来说 ， 看上去 就 很 麻木 了 … …,0,1
"这家 酒店 太 让 我 失望 了 , 房间 小 的 简直 不能 再 小 了 而且 服务态度 一般 除了 天台 泳池 还 可以 以外 , 还 不如 住 海景 酒店 离天 后车站 又 近 价钱 又 便宜 , 下次 去 香港 我 肯定 不住 这家              ",0,1
  sis 芯片组 性能 一般 有点 拖累 了 整体 的 性能 ， 能用 gl40 就 好 了 。 散热 不是 很 均匀    ,0,1
河南人 就是 河南人 ！ 不 被 懵 一次 ， 那算 白来 一回 ； 在 全国 乃至 全世界 那种 叫做 经济 房 的 房间 ， 在 河南 济源 雅士 达 叫做 “ 贵宾楼 ” ， 真够 逗 的 ！ ！ ！      ,0,1
酒店 位置 距离 南苑 机场 打车 ￥ 31 元 。     性价比 差 。     建议 住 大红门 附近 ， 距 南苑 机场 近 些 。      ,0,1
在 电视 上 看到 于 老师 的 讲课 觉得 不错 买 了 这 本书 。 但是 我 想 说 ， 这 本书 没什么 收藏 价值 。 能 看电视 还是 看电视 吧,0,1
  体积 较大 ， 虽然 是 最早 上网 本 品牌 但 质感 较 惠普 dell 等 品牌 还有 差距 ， 鼠标 按键 和 快捷键 很 硬 很 难用 ， 基本 可以 放弃 触摸屏 。    ,0,1
并 不如 介绍 中 的 好 ， 小孩 不 喜欢 ， 翻 一次 就 掉 一边 去 了,0,1
  国产 代工 ， 电池 部分 设计 不合理 ， 装 上 电池 后 ， 与 键盘 平行 的 那 一面 有 一点点 高 起来 ， 有 可能 与 屏 接触 。    ,0,1
"给 父母 订 的 ~ 回来 说 房间 远 不及 盛华 的 , 早餐 也 不行 . 唯一 好 的 就是 在 风景区 内 了 ~      ",0,1
  电源适配器   时间 长 容易 烫   反映 速度 较慢     电池 充满 并 不是 介绍 中 的 9.5 小时 ， 而是 7 个 多 小时    ,0,1
经济 类 酒店 ， 所以 价格 适中 。 酒店设施 服务 就 一般 了 。 虽然 在 亚龙湾 ， 但是 交通 十分 不 方便 ， 下次 还 不如 住 在 市区 。      ,0,1
性价比 还 不错 ， 门面 很 不起眼 ， 房间 的 设施 还好 ， 白天 也 不会 太吵      ,0,1
标间 面积 实在 太小 ， 卫生间 都 转 不 开身 。 客房 服务 很 一般 ， 好 在 打电话 后 态度 尚可 。 值得称赞 的 是 它 家 的 咖啡厅 环境 不错 ， 中餐厅 口味 还好 。      ,0,1
书 还是 新 的 ， 读 不 下去 。 主角 是 女性 ， 工作 环境 是 跨国公司 ， 没点 共鸣 ~ 实在 看不下去 ~ 也许 是 好书 ~ 也许 是 大家 太 捧 ~ 不 喜欢 ~,0,1
儿子 相当 不 喜欢 这 本书 ， 就 看 了 两页 ， 在 也 不 看 ， 对里 的 某些 画面 有些 恐惧,0,1
价格 还 可以 ， 位置 也 不错 ， 就是 房间 装修 太旧 了 ， 也 不 干净 ， 还有 异味 ！      ,0,1
我 儿子 很 喜欢 。 如果 可 分开 有 选择 买 哪册 ， 会 更好 。,0,1
